DATE_KEY,FULL_DATE,YEAR,QUARTER,MONTH_NUM,MONTH_NAME,MONTH_YEAR,WEEK_OF_YEAR,DAY_OF_MONTH,DAY_NAME,IS_WEEKEND
20240101,2024-01-01,2024,Q1,1,January,Jan 2024,1,1,Monday,False
20240102,2024-01-02,2024,Q1,1,January,Jan 2024,1,2,Tuesday,False
20240103,2024-01-03,2024,Q1,1,January,Jan 2024,1,3,Wednesday,False
20240104,2024-01-04,2024,Q1,1,January,Jan 2024,1,4,Thursday,False
20240105,2024-01-05,2024,Q1,1,January,Jan 2024,1,5,Friday,False
20240106,2024-01-06,2024,Q1,1,January,Jan 2024,1,6,Saturday,True
20240107,2024-01-07,2024,Q1,1,January,Jan 2024,1,7,Sunday,True
20240108,2024-01-08,2024,Q1,1,January,Jan 2024,2,8,Monday,False
20240109,2024-01-09,2024,Q1,1,January,Jan 2024,2,9,Tuesday,False
20240110,2024-01-10,2024,Q1,1,January,Jan 2024,2,10,Wednesday,False
20240111,2024-01-11,2024,Q1,1,January,Jan 2024,2,11,Thursday,False
20240112,2024-01-12,2024,Q1,1,January,Jan 2024,2,12,Friday,False
20240113,2024-01-13,2024,Q1,1,January,Jan 2024,2,13,Saturday,True
20240114,2024-01-14,2024,Q1,1,January,Jan 2024,2,14,Sunday,True
20240115,2024-01-15,2024,Q1,1,January,Jan 2024,3,15,Monday,False
20240116,2024-01-16,2024,Q1,1,January,Jan 2024,3,16,Tuesday,False
20240117,2024-01-17,2024,Q1,1,January,Jan 2024,3,17,Wednesday,False
20240118,2024-01-18,2024,Q1,1,January,Jan 2024,3,18,Thursday,False
20240119,2024-01-19,2024,Q1,1,January,Jan 2024,3,19,Friday,False
20240120,2024-01-20,2024,Q1,1,January,Jan 2024,3,20,Saturday,True
20240121,2024-01-21,2024,Q1,1,January,Jan 2024,3,21,Sunday,True
20240122,2024-01-22,2024,Q1,1,January,Jan 2024,4,22,Monday,False
20240123,2024-01-23,2024,Q1,1,January,Jan 2024,4,23,Tuesday,False
20240124,2024-01-24,2024,Q1,1,January,Jan 2024,4,24,Wednesday,False
20240125,2024-01-25,2024,Q1,1,January,Jan 2024,4,25,Thursday,False
20240126,2024-01-26,2024,Q1,1,January,Jan 2024,4,26,Friday,False
20240127,2024-01-27,2024,Q1,1,January,Jan 2024,4,27,Saturday,True
20240128,2024-01-28,2024,Q1,1,January,Jan 2024,4,28,Sunday,True
20240129,2024-01-29,2024,Q1,1,January,Jan 2024,5,29,Monday,False
20240130,2024-01-30,2024,Q1,1,January,Jan 2024,5,30,Tuesday,False
20240131,2024-01-31,2024,Q1,1,January,Jan 2024,5,31,Wednesday,False
20240201,2024-02-01,2024,Q1,2,February,Feb 2024,5,1,Thursday,False
20240202,2024-02-02,2024,Q1,2,February,Feb 2024,5,2,Friday,False
